date;price
28/03/2017;2274,159845
29/03/2017;2287,400008
30/03/2017;2298,285798
31/03/2017;2373,523009
01/04/2017;2393,698718
02/04/2017;2514,041781
03/04/2017;2458,333487
04/04/2017;2465,448703
05/04/2017;2503,753756
06/04/2017;2558,887114
07/04/2017;2558,873333
08/04/2017;2566,78912
09/04/2017;2569,966759
10/04/2017;2591,44745
11/04/2017;2614,805563
12/04/2017;2641,438344
13/04/2017;2601,977407
14/04/2017;2597,485282
15/04/2017;2610,940695
16/04/2017;2614,743913
17/04/2017;2644,034824
18/04/2017;2681,231545
19/04/2017;2654,447674
20/04/2017;2723,446755
21/04/2017;2729,839298
22/04/2017;2729,593503
23/04/2017;2743,754497
24/04/2017;2753,620474
25/04/2017;2778,740113
26/04/2017;2855,879138
27/04/2017;3022,018828
28/04/2017;3126,650667
29/04/2017;3174,96872
30/04/2017;3279,401557
01/05/2017;3332,326765
02/05/2017;3393,758248
03/05/2017;3547,618448
04/05/2017;3783,459057
05/05/2017;3850,648383
06/05/2017;4030,507623
07/05/2017;4170,183366
08/05/2017;4502,155158
09/05/2017;4428,155178
10/05/2017;4612,844658
11/05/2017;4687,249195
12/05/2017;4605,278094
13/05/2017;4722,396443
14/05/2017;4798,105983
15/05/2017;4809,959454
16/05/2017;4809,959454
17/05/2017;5491,978204
18/05/2017;5672,18302
19/05/2017;5997,808228
20/05/2017;6194,483501
21/05/2017;6480,957443
22/05/2017;6520,295185
23/05/2017;7153,138129
24/05/2017;7518,10555
25/05/2017;6928,013758
26/05/2017;6619,194665
27/05/2017;6083,235315
28/05/2017;6522,083546
29/05/2017;6863,330548
30/05/2017;6868,993716
31/05/2017;7313,223775
01/06/2017;7787,903648
02/06/2017;7940,360402
03/06/2017;7975,585629
04/06/2017;8246,037891
05/06/2017;8594,798119
06/06/2017;9073,520371
07/06/2017;8589,570359
08/06/2017;8893,548384
09/06/2017;9092,978335
10/06/2017;9636,301089
11/06/2017;9944,817377
12/06/2017;9732,891486
13/06/2017;9868,508772
14/06/2017;9067,913157
15/06/2017;8879,28907
16/06/2017;9162,902799
17/06/2017;9741,479719
18/06/2017;9487,431551
19/06/2017;9736,022248
20/06/2017;10024,29445
21/06/2017;9510,895953
22/06/2017;9545,910285
23/06/2017;9736,267638
24/06/2017;9239,952616
25/06/2017;8932,880649
26/06/2017;8299,52413
27/06/2017;8566,338169
28/06/2017;9044,482529
29/06/2017;8791,333193
30/06/2017;8471,914468
01/07/2017;8094,944699
02/07/2017;8475,134436
03/07/2017;8560,348103
04/07/2017;8594,197893
05/07/2017;8550,877834
06/07/2017;8553,752625
07/07/2017;7951,656711
08/07/2017;8130,531826
09/07/2017;7917,250716
10/07/2017;7136,984065
11/07/2017;6875,790368
12/07/2017;7393,320375
13/07/2017;7146,693881
14/07/2017;6736,247492
